Date,Open,High,Low,Close
3-April-2017,9527.64,9562.73,9515.61,9558.52
5-April-2017,9583.73,9605.54,9542.80,9597.51
6-April-2017,9592.79,9604.59,9556.34,9597.23
7-April-2017,9577.44,9597.92,9522.07,9535.01
10-April-2017,9557.31,9578.69,9521.23,9529.51
11-April-2017,9540.91,9592.73,9524.66,9586.49
12-April-2017,9602.95,9605.82,9505.66,9554.71
13-April-2017,9554.11,9558.76,9489.70,9496.44
17-April-2017,9498.81,9510.80,9466.25,9483.74
18-April-2017,9505.45,9571.23,9426.53,9438.57
19-April-2017,9452.10,9465.43,9413.87,9450.53
20-April-2017,9452.98,9496.66,9450.56,9487.39
21-April-2017,9531.48,9535.75,9440.48,9472.75
24-April-2017,9489.66,9576.82,9488.99,9569.87
25-April-2017,9622.49,9674.28,9608.90,9670.19
26-April-2017,9697.10,9725.75,9646.42,9707.15
27-April-2017,9708.23,9724.19,9679.83,9693.59
28-April-2017,9708.15,9709.20,9654.03,9669.96
2-May-2017,9700.80,9730.24,9641.55,9690.97
3-May-2017,9712.33,9723.20,9671.45,9683.68
4-May-2017,9728.60,9737.96,9697.03,9734.53
5-May-2017,9744.80,9751.57,9633.46,9648.50
8-May-2017,9676.24,9705.98,9664.97,9682.35
9-May-2017,9696.49,9716.22,9676.78,9696.79
10-May-2017,9718.11,9803.86,9717.85,9796.93
11-May-2017,9824.57,9840.64,9799.87,9809.33
12-May-2017,9821.28,9823.83,9748.08,9775.99
15-May-2017,9807.34,9827.84,9801.74,9820.95
16-May-2017,9840.97,9887.11,9834.57,9883.62
17-May-2017,9892.48,9902.28,9859.31,9889.81
18-May-2017,9836.49,9854.08,9755.73,9768.46
19-May-2017,9805.87,9853.24,9715.18,9760.08
22-May-2017,9817.27,9836.73,9750.24,9760.63
23-May-2017,9761.34,9770.70,9665.59,9688.12
24-May-2017,9712.87,9733.73,9625.10,9647.47
25-May-2017,9672.35,9801.17,9664.38,9791.97
26-May-2017,9799.77,9911.31,9785.39,9903.68
29-May-2017,9888.87,9933.06,9843.36,9891.13
30-May-2017,9887.66,9928.08,9858.46,9917.18
31-May-2017,9939.93,9955.89,9915.40,9928.65
1-June-2017,9925.00,9946.26,9899.40,9926.73
2-June-2017,9952.29,9987.16,9950.86,9971.63
5-June-2017,9982.06,10015.15,9965.29,9999.73
6-June-2017,10036.22,10038.76,9944.32,9952.09
7-June-2017,9973.19,10000.41,9950.10,9983.76
8-June-2017,10000.58,10014.64,9965.54,9971.71
9-June-2017,9969.13,9999.55,9933.50,9990.61
12-June-2017,9982.52,9982.66,9922.30,9940.06
13-June-2017,9943.59,9986.00,9924.76,9936.76
14-June-2017,9947.39,9957.05,9907.15,9943.89
15-June-2017,9958.60,9959.85,9894.35,9913.55
16-June-2017,9939.99,9955.04,9905.16,9920.24
19-June-2017,9952.95,10004.40,9950.43,9986.51
20-June-2017,10010.89,10015.97,9978.27,9990.00
21-June-2017,9991.01,9991.01,9949.60,9970.53
22-June-2017,9993.63,10036.52,9947.10,9958.30
23-June-2017,9976.70,9979.56,9875.41,9890.75
27-June-2017,9912.43,9931.49,9785.97,9825.54
28-June-2017,9833.14,9842.12,9791.84,9811.12
29-June-2017,9837.75,9895.91,9811.28,9826.67
30-June-2017,9822.78,9865.32,9773.94,9852.86
3-July-2017,9917.86,9966.79,9878.74,9958.78
4-July-2017,9993.18,10001.22,9937.68,9952.43
5-July-2017,9973.40,9996.18,9950.39,9988.30
6-July-2017,10008.62,10054.60,10001.00,10024.59
7-July-2017,10026.74,10039.65,9999.00,10018.27
10-July-2017,10064.56,10140.20,10058.24,10127.38
11-July-2017,10151.76,10175.72,10116.12,10123.58
12-July-2017,10147.47,10173.71,10133.28,10165.87
13-July-2017,10198.38,10247.51,10197.04,10239.38
14-July-2017,10261.40,10266.87,10194.19,10239.08
17-July-2017,10249.67,10279.93,10245.34,10268.75
18-July-2017,10203.47,10244.67,10170.98,10178.05
19-July-2017,10225.10,10271.19,10209.84,10264.90
20-July-2017,10283.84,10289.30,10227.96,10234.99
21-July-2017,10267.40,10282.74,10194.63,10270.72
24-July-2017,10290.83,10343.17,10280.18,10320.45
25-July-2017,10354.22,10361.43,10312.81,10328.47
26-July-2017,10346.08,10385.30,10334.42,10378.44
27-July-2017,10418.27,10473.03,10360.72,10375.45
28-July-2017,10378.23,10386.27,10310.32,10374.33
31-July-2017,10399.87,10441.24,10383.94,10432.76
1-August-2017,10462.23,10478.38,10434.16,10465.10
2-August-2017,10486.60,10494.12,10410.15,10433.86
3-August-2017,10444.55,10444.55,10362.98,10380.33
4-August-2017,10367.61,10456.29,10355.18,10444.69
7-August-2017,10468.61,10484.08,10447.20,10462.75
8-August-2017,10483.15,10491.66,10337.38,10369.81
9-August-2017,10344.53,10359.47,10257.96,10280.33
10-August-2017,10268.61,10270.05,10097.92,10154.07
11-August-2017,10089.75,10130.23,10028.21,10063.16
14-August-2017,10096.39,10191.53,10096.25,10167.10
16-August-2017,10207.53,10282.88,10151.63,10273.22
17-August-2017,10316.02,10325.15,10258.96,10276.54
18-August-2017,10258.53,10258.53,10160.96,10216.53
21-August-2017,10247.68,10266.81,10104.60,10117.77
22-August-2017,10159.77,10198.89,10106.32,10121.67
23-August-2017,10161.66,10224.95,10146.49,10219.04
24-August-2017,10247.54,10257.22,10220.03,10237.18
28-August-2017,10278.44,10318.36,10272.26,10304.41
29-August-2017,10300.99,10304.43,10173.96,10184.51
30-August-2017,10225.55,10309.93,10225.22,10289.81
31-August-2017,10305.24,10321.75,10264.33,10315.16
